dataset,L,K,point_precision,point_recall,point_f1,candidate_size,exact_r25_candidate_size,candidate_to_true_ratio,candidate_expansion_ratio,query_time_ms,mean_hamming_threshold
amazon,20,92,0.23145804702573688,0.4821065989847716,0.3095807184028449,376.075,197.0,1.9090101522842637,1.9090101522842637,22.143691600004445,34.0
amazon,20,94,0.2360179288519682,0.4595177664974619,0.30759648442433896,348.95,197.0,1.7713197969543149,1.7713197969543149,22.976109374999965,34.36875
amazon,20,96,0.24140947988325304,0.4315989847715736,0.30349771378110313,316.725,197.0,1.6077411167512694,1.6077411167512694,27.572737475006193,34.66875
amazon,20,98,0.2590755468732677,0.3710659898477157,0.29581199510685324,240.2,197.0,1.2192893401015228,1.2192893401015228,21.071971899988284,33.96875
amazon,20,100,0.2678089917551639,0.35545685279187816,0.2922595952349146,217.375,197.0,1.1034263959390862,1.1034263959390862,22.780293875007374,34.275
amazon,20,102,0.27637153956856675,0.3290609137055837,0.2834190327068932,192.725,197.0,0.9782994923857867,0.9782994923857867,21.202844825000966,34.6125
amazon,20,104,0.2972072545713543,0.2903553299492386,0.27094271076148957,143.725,197.0,0.7295685279187818,0.7295685279187818,21.120311525010038,33.88125
amazon,20,106,0.30132884119093395,0.27233502538071064,0.2621070519409844,130.65,197.0,0.6631979695431471,0.6631979695431471,21.53023962499674,34.1625
amazon,20,108,0.330718677036183,0.23109137055837561,0.23961779391652077,93.425,197.0,0.474238578680203,0.474238578680203,22.040782249987956,33.425
amazon,20,110,0.33895479316980276,0.22195431472081215,0.23457471963334675,84.9,197.0,0.4309644670050761,0.4309644670050761,22.759920925005872,33.7375
amazon,20,112,0.3463210098047149,0.20571065989847717,0.22283659993126453,75.625,197.0,0.3838832487309645,0.3838832487309645,22.27158954999311,33.9625
amazon,20,114,0.34184479554644653,0.16611675126903552,0.1873568002855385,54.4,197.0,0.2761421319796954,0.2761421319796954,22.193516624997756,33.2
amazon,20,116,0.34654315761019,0.1621827411167513,0.18491619116144326,51.55,197.0,0.2616751269035533,0.2616751269035533,23.379224974993917,33.46875
amazon,20,118,0.39563841822145185,0.1380710659898477,0.1631928766430375,38.35,197.0,0.19467005076142133,0.19467005076142133,31.927209375004395,32.65625
