dataset,L,K,radius_mode,radius_percentile,bandwidth_factor,delta,angle_alpha,sphere_layer_rule,theta_rule,norm_filter_rule,hamming_threshold_rule,lookup_rule,point_precision,point_recall,point_f1,kernel_weighted_recall,kde_abs_relative_error_vs_exact_r25,kde_abs_relative_error_vs_global,candidate_size,exact_r25_candidate_size,candidate_expansion_ratio,mean_hamming_threshold,mean_theta_deg,query_time_ms,build_time_s,candidate_to_true_ratio,kde_quality,speed_quality,ratio_quality,score_precision_recall_ratio,feasible
amazon,20,66,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2417854374919995,0.9463197969543146,0.385120985031865,0.9228130924041352,0.052017470336283345,0.07026044249555827,769.75,197.0,3.90736040609137,31.775,50.32802359873031,17.245616774997075,119.190086791,3.90736040609137,0.9479825296637167,0.4598457831864705,0.01942675159235696,0.4567536176912904,False
amazon,20,68,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.23869860012303085,0.9263959390862944,0.3795201993526288,0.8975761585742333,0.07003466246319065,0.09362487261569659,762.375,197.0,3.86992385786802,32.05625,50.32802359873031,17.452363600014564,119.190086791,3.86992385786802,0.9299653375368093,0.4533702148839257,0.028821656050955546,0.4496563809250433,False
amazon,20,70,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.23675801837638383,0.9105329949238579,0.37569694282127614,0.877860337860843,0.08745654448692951,0.11222165649819549,754.7,197.0,3.8309644670050766,32.3625,50.32802359873031,17.550044824989186,119.190086791,3.8309644670050766,0.9125434555130705,0.4503107171424445,0.03859872611464965,0.44469209178109426,False
amazon,20,72,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.23301007008986613,0.8843908629441625,0.36866432867944954,0.8470171770175468,0.11225380441640558,0.14142013476301463,742.9,197.0,3.771065989847716,32.68125,50.32802359873031,17.63965212500125,119.190086791,3.771065989847716,0.8877461955835945,0.44750410479623004,0.0536305732484077,0.4361210108609668,False
amazon,20,74,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.23015936343248605,0.8574873096446701,0.3626785339229817,0.8185699725638921,0.14011823862511447,0.16891635603507696,727.9,197.0,3.6949238578680204,33.0125,50.32802359873031,18.273023849997116,119.190086791,3.6949238578680204,0.8598817613748855,0.4276661127701644,0.07273885350318476,0.42750634613115934,False
amazon,20,76,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2271355148777543,0.8332487309644669,0.35664817504248114,0.7910298612866808,0.16877845477818873,0.19596437554738116,714.75,197.0,3.628172588832487,33.36875,50.32802359873031,18.689289674998122,119.190086791,3.628172588832487,0.8312215452218112,0.41462814818917915,0.08949044585987287,0.41960337472086995,False
amazon,20,78,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.22479905119650648,0.7634517766497462,0.3467242805633633,0.7180696479514538,0.2456925616815857,0.2686236865310304,656.625,197.0,3.333121827411168,32.6875,50.32802359873031,23.2152718249921,119.190086791,3.333121827411168,0.7543074383184143,0.2728687448904574,0.1635350318471338,0.3984131455879766,False
amazon,20,80,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.22218560788303227,0.7248730964467005,0.3394080403061161,0.679078577419651,0.28670651488427146,0.3072653432654532,627.975,197.0,3.1876903553299494,33.03125,50.32802359873031,20.820840575009925,119.190086791,3.1876903553299494,0.7132934851157285,0.34786531668156295,0.200031847133758,0.3929539407370277,False
amazon,20,82,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.2219621718852105,0.6942893401015228,0.3355335570178909,0.6536614664128396,0.31428513206106606,0.33310219926773604,598.925,197.0,3.040228426395939,33.3375,50.32802359873031,24.591609424996363,119.190086791,3.040228426395939,0.685714867938934,0.22976013543329044,0.23703821656050972,0.3816914513806606,False
amazon,20,84,query_adaptive_R25,25.0,0.14,7.007801055908203,0.95,round(norm/delta),layer-wise cosine theorem,disabled: no norm-table or radial-layer candidate filter,"per-query, per-layer Eq. I_threshold with Binomial(K, theta/pi)",distance-table hash-bucket lookup with per-layer thresholds; union over L tables without intersecting sphere-layer masks or exact norm-table filter,0.22370855181540347,0.665736040609137,0.3339411639346465,0.6242809911284171,0.3459622991057667,0.3627179067736325,569.075,197.0,2.8887055837563453,33.70625,50.32802359873031,23.020442699987598,119.190086791,2.8887055837563453,0.6540377008942333,0.2789710359712756,0.275063694267516,0.3806954767085768,False
